name;planet_status;mass;radius;type;orbital_period;semi_major_axis;star_name;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;alternate_names;updated;observation_type;reference;molecules;albedo;phase_curve;comments
"V 1298 Tau b";"Confirmed";2.2;0.8217;"Warm Jupiter";24.1382;0.1688;"V 1298 Tau";108.5;4970.0;1.305;677.0;10.1;;;1.15;;;;"11/19/21";"HST WFC3";2312.16924;"{"H2O":"Detection"}";;"No";"Strong water feature at 1.4 um"
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"G-B: High resolution IR";2108.05358;"{"He":"No detection"}";0;"No";
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"G-B: High resolution visible";2108.08851;"{"H":"No detection"}";0;"No";
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"G-B: High resolution visible";2107.01213;"{"H":"Upper limit"}";0;"No";"Ha variability, not clear if associated to the transiting planet"
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"G-B: High resolution visible";2404.16732;"{"H":"Upper limit"}";;"No";
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"G-B: High resolution IR";2404.16732;"{"He":"Upper limit"}";;"No";
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"HST-COS";"2024RNAAS...8...86F";"{"C+":"Upper limit","Si+":"Upper limit"}";;"No";"Upper limits for C II, C III, Si II, Si III"
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"G-B: High resolution IR";2405.17294;"{"He":"Upper limit"}";;"No";"New He I upper limit with NIRSPEC/Keck of 1.13% / 8.49 mA"
"V 1298 Tau c";"Confirmed";0.087237011804855;0.4389;"Hot";8.2479;0.0825;"V 1298 Tau";108.5;4970.0;1.305;968.0;10.1;;;1.15;;;;"11/19/21";"HST WFC3";2407.14995;"{"Molecular ratios: C\/O, etc...":"Detection"}";;"No";"Comparison between planets b and c"
"V 1298 Tau d";"Confirmed";0.11813739227052;0.5246;"Hot";12.403;0.1083;"V 1298 Tau";108.5;4970.0;1.305;845.0;10.1;;;1.15;;;;"11/19/21";"G-B: High resolution IR";2108.05358;"{"He":"Upper limit"}";0;"No";
"VHS 1256-1257 b";"Confirmed";19.0;1.25;"Hot Jupiter";;179.0;"VHS 1256-1257";12.7;2620.0;;1240.0;17.8;;;1.15;;;;"3/24/24";"JWST-MIRI";2209.00620;"{"CH4":"Detection","Na":"Detection","H2O":"Detection","K":"Detection","Si":"Detection"}";;"No";
"VHS 1256-1257 b";"Confirmed";19.0;1.25;"Hot Jupiter";;179.0;"VHS 1256-1257";12.7;2620.0;;1240.0;17.8;;;1.15;;;;"3/24/24";"JWST-NIRSpec";2311.05349;"{"Isotopic fractions":"Detection","CO":"Detection"}";;"No";
"WASP-10 b";"Confirmed";3.16;1.08;"Hot Jupiter";3.0927616;0.0371;"WASP-10";90.0;4675.0;0.783;1.37000000000e+03;12.7;10.6030000;9.9830000;1.15;34.3067;170.9737;;"5/30/14";"G-B: Low resolution visible";2305.19441;"{"Featureless spectra":"Detection"}";;"No";
"WASP-100 b";"Confirmed";2.03;1.69;"UltraHot Jupiter";2.849375;0.0457;"WASP-100";364.4110000;6900.0;2.0;2710.0;10.8;9.9280010;9.6690000;1.15;84.6586;133.3741;;"5/5/20";"TESS";"2020AJ....160..155W";"[]";0;"Yes";"Secondary eclipse (D=94+/-17 ppm) and planetary phase curve detected. Marginal eastward dayside brightness offset."
"WASP-100 b";"Confirmed";2.03;1.69;"UltraHot Jupiter";2.849375;0.0457;"WASP-100";364.4110000;6900.0;2.0;2710.0;10.8;9.9280010;9.6690000;1.15;84.6586;133.3741;;"5/5/20";"TESS";"2020MNRAS.494.4077J";"[]";0.16;"Yes";
"WASP-101 b";"Confirmed";0.5;1.36;"Hot Jupiter";3.5857076;0.0496;"WASP-101";201.2240000;6400.0;1.29;1573.0;10.3;9.3340000;9.0750000;1.15;328.5444;132.3943;;"8/2/24";"G-B: High resolution visible";2403.15631;"{"Na":"Upper limit","H":"Upper limit"}";;"No";"Featureless spectra around the Na doublet and Halpha"
