,P_NAME,P_RADIUS,P_TEMP_EQUIL,P_ESCAPE,P_ECCENTRICITY,S_DISTANCE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_ESI,S_TEMPERATURE,S_AGE,P_GRAVITY,P_DENSITY
205,MASCARA-4 b,17.15,2196.8519,7.579599,0,170.696,12.217997,2.4238415,5.5858709,0.053682455,7800,0.8,3.3498729,0.19532787
206,HAT-P-68 b,12.016,939.79506,4.3760953,0.041,202.152,0.16634127,0.32606161,0.805275,0.079413065,4508,11.1,1.5937258,0.13263364
207,WASP-4 b,14.807,1528.6058,5.0455237,0,267.206,0.6622165,0.62428568,1.4874919,0.0619499,5400,7,1.7192753,0.11611233
208,WASP-29 b,8.631,880.77945,2.9102534,0.03,87.5953,0.29853826,0.43186486,1.0527938,0.1055127,4800,14,0.98129704,0.11369448
209,HAT-P-40 b,17.038,1616.7688,2.992325,0,464.469,5.9979108,1.8045052,4.2206621,0.054463821,6080,2.7,0.52553168,0.030844681
210,L 98-59 d,1.58,368.99837,1.2091424,0,10.6194,0.011271975,0.08692734,0.22655523,0.52714337,3412,0.8,0.92533248,0.58565347
211,K2-19 d,1.11,1152.3131,3.0015011,0,289.827,0.49545019,0.54231048,1.2955814,0.29529813,5322,8,8.1162243,7.3119138
212,WASP-45 b,10.604,1054.4778,5.3752801,0.043,211.196,0.46131757,0.52806716,1.2693748,0.085810718,5150,12.7,2.7247865,0.25695837
213,WASP-173 A b,13.451,1696.7735,9.3375586,0,232.98,1.2105981,0.82462328,1.9416596,0.067174568,5800,6.78,6.482046,0.48190068
214,WASP-71 b,13.227,1843.6766,5.7792857,0,362.715,5.8613816,1.7871194,4.1827207,0.068026371,6050,3,2.5251488,0.19090866
215,KELT-21 b,17.777,1876.4981,8.3609685,0,470.878,8.0352612,1.965641,4.5299238,0.052117928,7598,1.6,3.932373,0.22120566
216,HAT-P-24 b,14.572,1493.4592,4.044534,0.07,415.344,2.5585859,1.1578811,2.6931142,0.062915027,6373,2.8,1.1225814,0.077036876
217,WASP-66 b,15.693,1573.0893,6.8988768,0,500.258,4.3351088,1.4874216,3.4477197,0.058727932,6600,3.7,3.0328491,0.19326127
218,KOI-94 e,6.56,608.09994,2.3098411,0.019,477.052,3.013006,1.2710391,2.9666583,0.15590844,6182,3.16,0.81331797,0.1239814
219,Qatar-8 b,14.404,1334.1681,2.8611646,0,281.498,1.6904409,0.97807593,2.3067989,0.064082713,5738,8.3,0.56833261,0.039456582
220,HD 219134 d,1.61,374.935,3.1691447,0.138,6.53127,0.26485001,0.40848035,1.000158,0.50969196,4699,11,6.2381853,3.8746492
221,HATS-40 b,17.71,1904.5015,5.341789,0.312,1342.29,7.9983426,2.0367329,4.7305755,0.052252333,6460,2.07,1.6112202,0.090977988
222,TOI-270 d,2.133,354.08235,1.4969887,0.032,22.4793,0.019408859,0.11393804,0.29558236,0.5180918,3506,,1.0506213,0.49255568
223,WASP-123 b,14.773,1354.3847,4.3978756,0,197.996,1.4521116,0.90640149,2.1376378,0.062586936,5740,6.9,1.3092337,0.088623416
224,TOI-824 b,2.926,1147.2828,2.5122393,,63.9262,0.19498446,0.35184033,0.86529104,0.21546541,4600,7.5,2.1569879,0.73717973
225,HATS-64 b,18.82,1635.7198,4.0264587,0.151,1080.15,7.362071,1.9434364,4.5075916,0.049722146,6554,1.861,0.86144367,0.045772777
226,EPIC 246851721 b,11.781,1282.5095,8.9963635,,372.632,3.3573761,1.340082,3.1265787,0.076605361,6202,3.02,6.8699224,0.58313576
227,WASP-32 b,10.761,1434.1732,8.813512,0,275.994,1.5595525,0.91678795,2.1416324,0.082166304,6140,2.22,7.2184736,0.67079952
228,HAT-P-55 b,14.841,1249.8632,3.5726289,0.17,511.388,1.250259,0.83782028,1.9725269,0.062796476,5804,5.3,0.8600281,0.057949471
229,TOI-451 b,1.91,1358.1774,1.5021799,0,123.739,0.64714262,0.61190249,1.4510388,0.26079353,5550,0.12,1.1814369,0.61855336
230,WASP-21 b,11.99,1330.7548,2.8199368,0,258.426,2.0137242,1.0635443,2.5042236,0.075224591,5800,12,0.66322297,0.055314676
231,HD 63433 c,2.521,621.2324,1.6543909,0.21,22.4035,0.74989421,0.65338153,1.5431406,0.26413249,5688,0.414,1.0856839,0.43065605
232,HATS-35 b,16.41,1850.2695,4.8649542,0.306,514.555,2.917427,1.2418235,2.8920222,0.056043266,6300,2.13,1.4422778,0.087890179
233,TOI-1266 b,2.37,377.95532,2.3866719,0.09,36.0118,0.02630268,0.13247404,0.34207078,0.45212485,3600,7.9,2.403461,1.0141186
234,HAT-P-62 b,12.027,1381.2943,4.4844587,0.101,348.815,1.2331048,0.84077718,1.9890861,0.074814943,5629,8.1,1.6721019,0.13902901
235,HD 219134 h,12.7,107.73869,2.9169907,0.06,6.53127,0.30974193,0.43769797,1.0619757,0.10309791,4913,12.46,0.66998698,0.05275488
236,K2-31 b,11.882,1612.0866,6.8885764,0,110.527,0.77624712,0.68035089,1.6277404,0.075039881,5280,,3.9936445,0.33610878
237,WASP-42 b,12.576,873.50186,3.6494842,0.062,177.291,0.43551187,0.50864305,1.2154437,0.078418033,5315,4.4,1.0590597,0.084212763
238,WASP-20 b,16.388,1263.3512,2.4558712,0,211.877,2.1777098,1.0966514,2.5731591,0.057504479,5940,7,0.36803169,0.022457389
239,TOI-530 b,9.303,525.53064,3.6967053,0,148.762,0.048977882,0.18061879,0.46501949,0.14820347,3659,,1.4689488,0.15790055
240,HATS-57 b,12.767,1291.1572,8.8511844,0.028,279.485,0.80537844,0.6811596,1.6134672,0.071421576,5587,2.5,6.1364036,0.48064569
241,G 9-40 b,2.025,417.4643,2.4037009,0,27.9276,0.010690549,0.084715937,0.22148179,0.41388817,3348,9.9,2.8532236,1.4089993
242,HD 191939 b,3.41,806.66942,1.7124694,0.031,53.6089,0.65012969,0.62034236,1.4806803,0.20637786,5348,8.7,0.85998572,0.25219523
243,WASP-67 b,12.89,945.0978,3.2561561,0,189.469,0.50815944,0.55280168,1.3263793,0.07483415,5200,12.6,0.82254091,0.063812328
244,WASP-127 b,14.695,1357.3037,1.8873804,0,159.507,1.8879913,1.0409036,2.4631873,0.062868978,5620,11.41,0.24240931,0.01649604
245,WASP-175 b,13.54,1911.9449,4.8206512,0,539.36,6.1517687,1.8110084,4.2231114,0.066576873,6229,1.745,1.7162982,0.12675762
246,WASP-35 b,14.572,1332.0137,3.9352021,0,202.218,1.3931568,0.87446905,2.0494384,0.063440399,5990,5,1.0627104,0.072928243
247,WASP-62 b,14.796,1301.0131,3.3421578,0,175.631,2.2181964,1.0874121,2.5357005,0.06273261,6230,2.6,0.75493504,0.051022915
248,WASP-131 b,13.675,1402.831,2.5050457,0,200.075,3.3884416,1.3604543,3.1855277,0.066816891,6030,4.5,0.45888513,0.033556499
249,TOI-431 c,1.49,806.95262,1.3781614,0,32.5686,0.27227013,0.41153167,1.0011046,0.29297194,4850,,1.2747174,0.855515
250,HATS-45 b,14.415,1380.8499,3.928612,0.24,772.11,2.6607251,1.1754076,2.730462,0.063804699,6450,1.52,1.0706897,0.074276082
251,WASP-121 b,19.649,2290.59,4.3260627,0,269.898,4.4055486,1.4850418,3.434756,0.047357482,6776,1.5,0.95245654,0.048473538
252,XO-2 S c,13.6,343.63,5.6582124,0.1528,151.398,0.75335556,0.66589776,1.5866941,0.27925962,5399,7.1,2.3540712,0.17309347
253,HATS-7 b,6.311,988.84609,2.4583232,0.17,240.707,0.36812897,0.4755751,1.150514,0.13091228,4985,7.8,0.95759038,0.15173354
254,TOI-1518 b,21.017,2996.5546,5.8975946,0.01,225.888,28.973436,3.7325378,8.6018308,0.044394179,7300,,1.654928,0.078742351
255,HATS-72 b,8.097,675.89432,2.2186262,0.013,127.589,0.21928049,0.37231508,0.91334172,0.12504644,4656.1,12.17,0.60791677,0.07507926
256,WASP-46 b,13.159,1563.8429,6.7920783,0.022,375.31,0.7744618,0.66745079,1.5803831,0.06870114,5600,9.6,3.5057624,0.26641557
257,WASP-140 b,16.141,1196.5709,6.9314986,0.047,117.598,0.50815944,0.55105766,1.319339,0.058701508,5260,0.5,2.976623,0.18441379
258,HAT-P-26 b,7.062,945.77882,1.7749356,0.12,141.837,0.43752211,0.51610748,1.2439722,0.12114339,5079,9,0.44610542,0.063169842
259,HAT-P-41 b,22.978,1772.1353,4.0570916,0,348.185,4.2461956,1.4901346,3.4649186,0.041242714,6390,2.2,0.71633703,0.031174908
260,HD 191939 f,13.4,127.87178,7.0181003,0,53.6089,0.65012969,0.62034236,1.4806803,0.12908892,5348,8.7,3.6756516,0.27430236
261,KELT-4 A b,19.044,1668.2406,3.8799098,0,218.05,3.4276779,1.353711,3.1581312,0.049152311,6206,4.44,0.79046943,0.041507532
262,WASP-84 c,1.95,1375.5796,2.7919298,,100.588,0.47315126,0.53235795,1.2755702,0.25871317,5238,2.1,3.9973702,2.0499334
263,WASP-31 b,17.363,1432.0341,2.9579401,0,383.829,2.1677041,1.0703053,2.4924925,0.053946189,6302,1,0.50391117,0.029022126
264,TOI-776 c,2.02,378.92762,1.6198032,0.04,27.1701,0.048977882,0.18048077,0.46350493,0.47504892,3709,7.8,1.2988923,0.64301597
265,L 98-59 b,0.85,560.38918,0.68599434,0.103,10.6194,0.011271975,0.086924359,0.2265142,0.34784141,3415,0.8,0.55363322,0.6513332
266,Kepler-410 A b,2.838,932.85454,1.7245073,0.17,147.527,2.7227013,1.2016161,2.799757,0.22288522,6273,2.76,1.0478947,0.36923705
267,K2-233 b,1.343,1036.0895,2.8955508,0.079,67.5062,0.29991625,0.42827179,1.0341096,0.29042712,5033,0.36,6.2428998,4.6484734
268,WASP-126 c,9.38,979.26258,2.6161708,0.05,216.526,1.3551894,0.87248023,2.0543437,0.096215899,5800,6.4,0.72967481,0.077790491
269,WASP-85 A b,13.899,1238.2759,5.3783731,0,141.887,0.84918048,0.67765735,1.5839374,0.066617385,6112,,2.0812215,0.14973894
270,HD 106315 b,2.44,1034.0958,2.2724292,0.093,109.353,2.2387211,1.0860664,2.5280764,0.23819246,6327,4.48,2.1163666,0.86736335
271,TOI-1130 c,13.32,580.96283,4.9448156,0.0457,58.2609,0.13995873,0.30065299,0.74806084,0.10477208,4350,4.1,1.8356758,0.1378135
272,KELT-2 A b,15.132,1615.4252,5.9754929,0,134.058,4.8865236,1.6045615,3.7349965,0.060599802,6327,3.97,2.3596693,0.15593902
273,WASP-19 b,15.861,1933.4831,4.8087697,0.0126,268.325,0.9057326,0.72112807,1.7066731,0.057760215,5616,6.4,1.4579324,0.091919324
274,K2-113 b,12.14,1010.6068,5.8114293,0,635.722,1.0209395,0.76363758,1.8049742,0.077304468,5660,5.9,2.7819366,0.22915458
