name;mass;radius;orbital_period;semi_major_axis;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;albedo;molecules
GJ 367 b;0.001718;0.0526;0.3219225;0.0069;9.41;3522.0;0.457;1365.0;10.0;8.798540093711468;8.350957978986402;0.19;3343.223394303798;4920.829656780736;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
GJ 436 b;0.05836;0.32519;2.64394;0.02887;10.2;3684.0;0.464;580.0;10.68;6.9;6.073;1.28;374.454;48.1364;0.0446005509641873;"{He"":""Upper limit""}""; {H"":""No detection""}""; {H"":""Detection""}""; {H2O"":""Upper limit"",""CO"":""Upper limit"",""CH4"":""Upper limit""}""; {FeH"":""Upper limit""}""; {Na"":""Upper limit""}"""
GJ 486 b;0.00887;0.11643;1.467119;0.01734;8.0761;3340.0;0.328;700.0;11.4;7.195;6.362;0.19;35.3896;21.3042;0.0446005509641873;"{Featureless spectra"":""Detection""}""; {H2O"":""Upper limit""}""; {He"":""Upper limit""}""; []"
GJ 9827 b;0.01532;0.13641;1.2089765;0.01866;30.3;4255.0;0.651;1043.5;10.4;7.984;7.193;1.26;57.5017;9.5333;0.0446005509641873;"{He"":""Upper limit"",""H"":""Upper limit""}""; {He"":""Upper limit""}"""
GJ 9827 d;0.01076;0.17441;6.20183;0.0555;30.3;4255.0;0.651;604.9;10.4;7.984;7.193;1.26;99.196;3.9901;0.0446005509641873;"{He"":""No detection""}""; {He"":""Upper limit""}""; {H"":""No detection"",""He"":""No detection""}""; {H2O"":""Detection""}""; {H2O"":""Detection"",""He"":""Upper limit"",""Molecular ratios: C\/O, etc..."":""Detection""}"""
GQ Lup b;0.013;1.8;8.27095205;0.09614;140.0;5702.228571428572;1.152609202947846;2650.0;11.4;8.605;7.096;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{CO"":""Detection"",""Isotopic fractions"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}"""
HAT-P-1 b;0.525;1.319;4.46529976;0.05561;139.0;5980.0;1.174;1322.0;10.4;9.156;8.858;1.15;314.3897;133.2222;0.0;"{H2O"":""Detection""}""; {Na"":""Detection""}""; {K"":""Detection"",""Na"":""Detection""}"""
HAT-P-10 A b;0.46;1.045;3.722469;0.0439;125.0;4980.0;0.81;1031.5090606215;11.89;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{He"":""Upper limit""}"""
HAT-P-11 b;0.0736;0.389;4.887802443;0.053;37.89;4780.0;0.683;750.0;9.59;7.608;7.009;1.15;196.693;31.097;0.0446005509641873;"{H2O"":""Detection""}""; {He"":""Detection""}""; {H"":""Detection"",""C+"":""Detection""}""; {H2O"":""Detection"",""NH3"":""Detection"",""CO2"":""Upper limit"",""CH4"":""Upper limit"",""HCN"":""Upper limit""}"""
HAT-P-12 b;0.210489884529;0.949;3.2130598;0.0384;142.5;4650.0;0.7;965.0;12.84;10.794;10.108;1.15;282.0309;79.2398;0.0;"{H2O"":""Upper limit"",""CH4"":""Upper limit"",""NH3"":""Upper limit""}""; {H2O"":""Detection""}"""
HAT-P-13 b;0.9;1.44;2.916415;0.045;214.0;5638.0;1.56;1700.0;10.62;9.328;8.975;1.15;160.562;139.8339;0.0446005509641873;[]
HAT-P-14 b;2.444;1.01;4.627686;0.0606;205.0;6600.0;1.468;1566.4051642366;9.98;9.094;8.851;1.15;23.6436;59.9109;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
HAT-P-18 b;0.183;0.947;5.508029;0.0559;166.0;4870.0;0.717;841.0;12.76;10.822;10.234;1.15;264.3349;49.1418;0.0446005509641873;"{He"":""Detection""}""; {He"":""Detection"",""H2O"":""Detection""}""; {H2O"":""Detection""}""; {Featureless spectra"":""Detection""}""; {He"":""Detection"",""H2O"":""Detection"",""CO2"":""Detection"",""Cloudy"":""Detection"",""CH4"":""No detection""}""; {Rayleigh Scattering"":""Detection""}"""
